year,Popularity of the first name Alanna (Babies born),The distance between Uranus and Venus (Planetary distance (AU))
1975,152,18.6276
1976,140,18.4421
1977,177,18.5802
1978,183,18.7309
1979,215,18.5555
1980,252,18.8751
1981,295,18.7798
1982,289,18.8279
1983,245,19.0794
1984,275,18.8825
1985,297,19.1604
1986,289,19.165
1987,286,19.1084
1988,334,19.4185
1989,361,19.2353
1990,520,19.4315
1991,476,19.5479
1992,480,19.4047
1993,499,19.7296
1994,491,19.5996
1995,481,19.678
1996,543,19.8876
1997,499,19.6788
1998,497,19.9556
1999,544,19.9043
2000,541,19.8462
2001,543,20.1131
2002,565,19.8832
2003,587,20.0613
2004,625,20.1105
2005,618,19.9338
2006,667,20.2147
2007,691,20.021
2008,683,20.0678
2009,654,20.2129
2010,573,19.9531
2011,579,20.1842
2012,626,20.062
2013,597,19.9596
2014,586,20.1633
2015,620,19.872
2016,554,20.0037
2017,565,19.9821
2018,558,19.7591
2019,575,19.9832
2020,523,19.7257
2021,547,19.7335
2022,528,19.8115
